subj,session,file,date,n_trials,included,reason
118340,1,118340-stroop-mw-2018-mar-16-1411.csv,mw-2018-mar-16-1411,600,,
120554,1,120554-stroop-mw-2018-mar-12-1419.csv,mw-2018-mar-12-1419,600,,
142272,1,142272-stroop-mw-2018-mar-13-1423.csv,mw-2018-mar-13-1423,600,,
142610,1,142610-stroop-mw-2018-mar-15-1414.csv,mw-2018-mar-15-1414,600,,
146393,1,146393-stroop-mw-2018-mar-13-1423.csv,mw-2018-mar-13-1423,600,,
149318,1,149318-stroop-mw-2018-mar-12-1418.csv,mw-2018-mar-12-1418,600,,
174411,1,174411-stroop-mw-2018-mar-14-1415.csv,mw-2018-mar-14-1415,600,,
180705,1,180705-stroop-mw-2018-mar-09-1122.csv,mw-2018-mar-09-1122,600,,
180705,2,180705b-stroop-mw-2018-mar-12-1419.csv,mw-2018-mar-12-1419,600,,
190732,1,190732-stroop-mw-2018-mar-15-1411.csv,mw-2018-mar-15-1411,600,,
194849,1,194849-stroop-mw-2018-mar-16-1411.csv,mw-2018-mar-16-1411,600,,
197623,1,197623-stroop-mw-2018-mar-09-1123.csv,mw-2018-mar-09-1123,600,,
204561,1,204561-stroop-mw-2018-mar-09-1121.csv,mw-2018-mar-09-1121,600,,
217278,1,217278-stroop-mw-2018-mar-13-1423.csv,mw-2018-mar-13-1423,600,,
245080,1,245080-stroop-mw-2018-mar-14-1416.csv,mw-2018-mar-14-1416,600,,
247620,1,247620-stroop-mw-2018-mar-09-1122.csv,mw-2018-mar-09-1122,600,,
268879,1,268879-stroop-mw-2018-mar-16-1411.csv,mw-2018-mar-16-1411,600,,
274322,1,274322-stroop-mw-2018-mar-09-1123.csv,mw-2018-mar-09-1123,600,,
282407,1,282407-stroop-mw-2018-mar-15-1411.csv,mw-2018-mar-15-1411,600,,
283382,1,283382-stroop-mw-2018-mar-12-1418.csv,mw-2018-mar-12-1418,600,,
288246,1,288246-stroop-mw-2018-mar-15-1411.csv,mw-2018-mar-15-1411,600,,
300190,1,300190-stroop-mw-2018-mar-13-1422.csv,mw-2018-mar-13-1422,600,,
301375,1,301375-stroop-mw-2018-mar-15-1411.csv,mw-2018-mar-15-1411,600,,
305899,1,305899-stroop-mw-2018-mar-12-1418.csv,mw-2018-mar-12-1418,600,,
311153,1,311153-stroop-mw-2018-mar-13-1422.csv,mw-2018-mar-13-1422,600,,
316750,1,316750-stroop-mw-2018-mar-12-1419.csv,mw-2018-mar-12-1419,600,,
317560,1,317560-stroop-mw-2018-mar-14-1417.csv,mw-2018-mar-14-1417,600,,
318327,1,318327-stroop-mw-2018-mar-15-1411.csv,mw-2018-mar-15-1411,600,,
342023,1,342023-stroop-mw-2018-mar-13-1422.csv,mw-2018-mar-13-1422,600,,
342919,1,342919-stroop-mw-2018-mar-16-1413.csv,mw-2018-mar-16-1413,600,,
352773,1,352773-stroop-mw-2018-mar-14-1417.csv,mw-2018-mar-14-1417,600,,
354109,1,354109-stroop-mw-2018-mar-14-1416.csv,mw-2018-mar-14-1416,600,,
360027,1,360027-stroop-mw-2018-mar-16-1414.csv,mw-2018-mar-16-1414,600,,
367466,1,367466-stroop-mw-2018-mar-15-1410.csv,mw-2018-mar-15-1410,600,,
372544,1,372544-stroop-mw-2018-mar-13-1423.csv,mw-2018-mar-13-1423,600,,
375537,1,375537-stroop-mw-2018-mar-14-1417.csv,mw-2018-mar-14-1417,600,,
375537,2,375537b-stroop-mw-2018-mar-15-1412.csv,mw-2018-mar-15-1412,600,,
376613,1,376613-stroop-mw-2018-mar-13-1423.csv,mw-2018-mar-13-1423,600,,
391652,1,391652-stroop-mw-2018-mar-14-1416.csv,mw-2018-mar-14-1416,600,,
430453,1,430453-stroop-mw-2018-mar-15-1412.csv,mw-2018-mar-15-1412,600,,
443829,1,443829-stroop-mw-2018-mar-13-1423.csv,mw-2018-mar-13-1423,600,,
462795,1,462795-stroop-mw-2018-mar-14-1417.csv,mw-2018-mar-14-1417,600,,
495135,1,495135-stroop-mw-2018-mar-13-1422.csv,mw-2018-mar-13-1422,600,,
497562,1,497562-stroop-mw-2018-mar-09-1124.csv,mw-2018-mar-09-1124,600,,
514721,1,514721-stroop-mw-2018-mar-13-1422.csv,mw-2018-mar-13-1422,600,,
536211,1,536211-stroop-mw-2018-mar-14-1416.csv,mw-2018-mar-14-1416,600,,
590116,1,590116-stroop-mw-2018-mar-09-1123.csv,mw-2018-mar-09-1123,600,,
604153,1,604153-stroop-mw-2018-mar-09-1123.csv,mw-2018-mar-09-1123,600,,
604995,1,604995-stroop-mw-2018-mar-13-1422.csv,mw-2018-mar-13-1422,600,,
608204,1,608204-stroop-mw-2018-mar-15-1410.csv,mw-2018-mar-15-1410,600,,
613451,1,613451-stroop-mw-2018-mar-16-1415.csv,mw-2018-mar-16-1415,600,,
623074,1,623074-stroop-mw-2018-mar-14-1416.csv,mw-2018-mar-14-1416,600,,
639598,1,639598-stroop-mw-2018-mar-12-1420.csv,mw-2018-mar-12-1420,600,,
639598,2,639598b-stroop-mw-2018-mar-16-1413.csv,mw-2018-mar-16-1413,600,,
648597,1,648597-stroop-mw-2018-mar-16-1412.csv,mw-2018-mar-16-1412,600,,
658554,1,658554-stroop-mw-2018-mar-13-1422.csv,mw-2018-mar-13-1422,600,,
668918,1,668918-stroop-mw-2018-mar-14-1417.csv,mw-2018-mar-14-1417,600,,
684397,1,684397-stroop-mw-2018-mar-09-1122.csv,mw-2018-mar-09-1122,600,,
713272,1,713272-stroop-mw-2018-mar-13-1422.csv,mw-2018-mar-13-1422,600,,
718774,1,718774-stroop-mw-2018-mar-13-1422.csv,mw-2018-mar-13-1422,600,,
725297,1,725297-stroop-mw-2018-mar-12-1419.csv,mw-2018-mar-12-1419,600,,
725297,2,725297b-stroop-mw-2018-mar-12-1419.csv,mw-2018-mar-12-1419,600,,
726851,1,726851-stroop-mw-2018-mar-12-1420.csv,mw-2018-mar-12-1420,600,,
733206,1,733206-stroop-mw-2018-mar-09-1122.csv,mw-2018-mar-09-1122,600,,
737218,1,737218-stroop-mw-2018-mar-09-1123.csv,mw-2018-mar-09-1123,600,,
753332,1,753332-stroop-mw-2018-mar-09-1122.csv,mw-2018-mar-09-1122,600,,
766339,1,766339-stroop-mw-2018-mar-09-1122.csv,mw-2018-mar-09-1122,600,,
774293,1,774293-stroop-mw-2018-mar-13-1423.csv,mw-2018-mar-13-1423,600,,
799330,1,799330-stroop-mw-2018-mar-16-1412.csv,mw-2018-mar-16-1412,600,,
816471,1,816471-stroop-mw-2018-mar-14-1418.csv,mw-2018-mar-14-1418,600,,
819650,1,819650-stroop-mw-2018-mar-14-1418.csv,mw-2018-mar-14-1418,600,,
847738,1,847738-stroop-mw-2018-mar-09-1122.csv,mw-2018-mar-09-1122,600,,
862128,1,862128-stroop-mw-2018-mar-14-1417.csv,mw-2018-mar-14-1417,600,,
862659,1,862659-stroop-mw-2018-mar-15-1413.csv,mw-2018-mar-15-1413,600,,
868858,1,868858-stroop-mw-2018-mar-16-1411.csv,mw-2018-mar-16-1411,600,,
879281,1,879281-stroop-mw-2018-mar-15-1412.csv,mw-2018-mar-15-1412,600,,
901381,1,901381-stroop-mw-2018-mar-16-1414.csv,mw-2018-mar-16-1414,600,,
901393,1,901393-stroop-mw-2018-mar-13-1422.csv,mw-2018-mar-13-1422,600,,
933604,1,933604-stroop-mw-2018-mar-09-1122.csv,mw-2018-mar-09-1122,600,,
935666,1,935666-stroop-mw-2018-mar-15-1412.csv,mw-2018-mar-15-1412,600,,
936750,1,936750-stroop-mw-2018-mar-09-1120.csv,mw-2018-mar-09-1120,600,,
954987,1,954987-stroop-mw-2018-mar-09-1121.csv,mw-2018-mar-09-1121,600,,
959728,1,959728-stroop-mw-2018-mar-14-1418.csv,mw-2018-mar-14-1418,600,,
981502,1,981502-stroop-mw-2018-mar-16-1412.csv,mw-2018-mar-16-1412,600,,
990512,1,990512-stroop-mw-2018-mar-12-1419.csv,mw-2018-mar-12-1419,600,,
