# OrderedDict([('code', u'360027'), ('alder (opsjonalt)', u'23'), (u'kj\xf8nn', 'mann'), ('date', u'2018_mar_16_1414'), ('expName', 'StroopMW'), ('frameRate', 59.909129716370813)])
subj,trial,time,color,condition,correct,response,RT
360027,0,1.81277202701,blue,congruent,correct,j,1.24998986666
360027,1,3.83289749278,green,neutral,correct,f,0.76570167343
360027,2,5.85522114802,green,congruent,correct,f,0.407298654674
360027,3,7.87625669494,yellow,congruent,correct,k,0.658498549543
360027,4,9.89838280327,red,incongruent,correct,d,0.780334652161
360027,5,11.9373370931,blue,neutral,correct,j,0.597220177777
360027,6,13.9681040658,green,neutral,correct,f,0.566292778189
360027,7,15.9884001985,green,neutral,correct,f,0.466180863375
360027,8,18.0091921184,yellow,congruent,correct,k,0.637553029403
360027,9,20.0294937978,red,neutral,correct,d,0.585072108886
360027,10,22.051859693,green,congruent,correct,f,1.15481491816
360027,11,24.0737468677,red,incongruent,correct,d,0.62070778117
360027,12,26.0947969213,red,congruent,correct,d,0.679661669972
360027,13,28.1158115616,yellow,incongruent,correct,k,0.482788031302
360027,14,30.136759215,green,incongruent,incorrect,k,0.397659815673
360027,15,32.1591690571,green,congruent,correct,f,0.871602608982
360027,16,34.1814270056,blue,incongruent,correct,j,0.593040545762
360027,17,36.202373379,red,congruent,correct,d,0.380095633191
360027,18,38.2231708457,yellow,neutral,correct,k,0.519330371411
360027,19,40.2439896456,red,congruent,correct,d,0.5784677271
360027,20,42.2799453183,blue,incongruent,correct,j,0.606832136742
360027,21,44.3009731852,blue,neutral,correct,j,0.521461574142
360027,22,47.118484205,yellow,probe,-1,3,-1
360027,23,49.4317603393,yellow,incongruent,correct,k,0.734931714047
360027,24,51.4526461261,red,neutral,correct,d,0.585965976701
360027,25,53.4750261014,green,congruent,correct,f,1.23546270139
360027,26,55.4967281025,blue,neutral,correct,j,0.605858482166
360027,27,57.5188286108,yellow,incongruent,correct,k,0.519657625155
360027,28,59.5404521051,yellow,congruent,correct,k,0.386184600982
360027,29,61.5618247191,blue,incongruent,correct,j,1.02066690645
360027,30,63.5830676263,green,incongruent,correct,f,0.647662055679
360027,31,65.6053008281,green,congruent,correct,f,0.577438179127
360027,32,67.6475080288,red,incongruent,correct,d,1.03123587998
360027,33,69.668489389,blue,congruent,correct,j,0.610378594618
360027,34,71.6909572578,green,congruent,incorrect,d,0.5716943851
360027,35,73.711496164,yellow,neutral,correct,k,0.551086358726
360027,36,75.7318750701,yellow,neutral,correct,k,0.450928363854
360027,37,77.7527979769,green,neutral,correct,f,0.605940402274
360027,38,79.7912761062,red,congruent,correct,d,0.487242437004
360027,39,81.8131201875,blue,congruent,correct,j,0.561406585264
360027,40,83.8337410139,blue,neutral,correct,j,0.524807498419
360027,41,85.8546664806,blue,neutral,correct,j,0.535859459233
360027,42,87.8751618669,blue,neutral,correct,j,0.51546305979
360027,43,89.8966155477,yellow,congruent,correct,k,0.686228505045
360027,44,91.9174535477,green,neutral,correct,f,0.425060384077
360027,45,93.9378529338,green,neutral,correct,f,0.340680116075
360027,46,96.9734228993,blue,probe,-1,3,-1
360027,47,99.2858209525,blue,congruent,correct,j,1.02470531163
360027,48,101.308379701,blue,incongruent,correct,j,0.458319519981
360027,49,103.330023249,blue,incongruent,correct,j,0.372517170152
360027,50,105.351130903,blue,incongruent,correct,j,0.415728745465
360027,51,107.372892637,yellow,congruent,correct,k,0.537654448199
360027,52,109.393290317,blue,neutral,correct,j,0.58161269113
360027,53,111.415545279,yellow,congruent,correct,k,0.623029704147
360027,54,113.435820505,blue,neutral,correct,j,0.522727495758
360027,55,115.457227252,blue,congruent,correct,j,0.453359513631
360027,56,117.477899278,red,neutral,correct,d,0.576665484798
360027,57,119.498864852,red,neutral,correct,d,0.364022225949
360027,58,121.520013039,yellow,congruent,correct,k,0.886660974931
360027,59,123.540755892,red,neutral,correct,d,0.737817264409
360027,60,125.562374693,yellow,congruent,correct,k,0.604485040407
360027,61,127.584106561,red,congruent,correct,d,0.694493475617
360027,62,129.604929628,red,neutral,correct,d,0.417850134843
360027,63,131.626310348,yellow,congruent,correct,k,0.620453914184
360027,64,133.648909631,green,congruent,correct,f,0.405678599273
360027,65,135.670283525,red,congruent,correct,d,0.60830200529
360027,66,137.691629259,red,congruent,correct,d,0.346993084146
360027,67,139.712747152,green,neutral,correct,f,0.741925216331
360027,68,141.749588586,red,incongruent,correct,d,0.529016570472
360027,69,143.771169414,green,incongruent,correct,f,0.651679554147
360027,70,145.79175952,red,neutral,correct,d,0.486957849971
360027,71,147.812011279,blue,neutral,correct,j,0.610562914851
360027,72,149.833458133,green,incongruent,incorrect,d,0.685196397055
