# OrderedDict([('code', u'639598'), ('alder (opsjonalt)', u'20'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_16_1413'), ('expName', 'StroopMW'), ('frameRate', 60.006938399618122)])
subj,trial,time,color,condition,correct,response,RT
639598,0,1.81178034697,green,neutral,correct,f,0.882700423383
639598,1,3.83607174994,blue,incongruent,correct,j,0.602387796316
639598,2,5.85582384818,red,incongruent,correct,d,0.838619375521
639598,3,7.8758626663,blue,congruent,correct,j,0.562843919848
639598,4,9.89610713766,blue,neutral,correct,j,0.750409919827
639598,5,11.9385540529,green,incongruent,correct,f,0.532236146246
639598,6,13.9586513243,yellow,neutral,correct,k,0.383822769567
639598,7,15.9790515289,green,neutral,correct,f,0.49138453701
639598,8,17.9986449072,red,incongruent,correct,d,0.520139724737
639598,9,20.0181405789,blue,congruent,correct,j,0.420313420669
639598,10,22.0377578506,red,incongruent,correct,d,0.592929453684
639598,11,24.0589145349,red,congruent,correct,d,0.539559876459
639598,12,26.0795063127,blue,neutral,correct,j,0.615177977525
639598,13,28.1006907304,yellow,congruent,correct,k,0.40184132188
639598,14,30.1214143482,red,congruent,correct,d,0.429044296943
639598,15,32.142290286,green,incongruent,correct,f,0.568493410778
639598,16,34.1662476091,yellow,incongruent,correct,k,0.496382934878
639598,17,36.1865731471,red,neutral,correct,d,0.587875162506
639598,18,38.2076159114,blue,incongruent,correct,j,0.422835872923
639598,19,40.228991049,yellow,congruent,correct,k,0.401703508607
639598,20,42.2484897073,blue,congruent,correct,j,0.526321268771
639598,21,44.2683753522,blue,congruent,correct,j,0.554492350086
639598,22,46.2888101168,green,incongruent,correct,f,0.645875351089
639598,23,48.3097154945,yellow,congruent,correct,k,0.41680024883
639598,24,50.3301498325,yellow,neutral,incorrect,j,0.588302682321
639598,25,52.3503712638,green,neutral,correct,f,0.680147336476
639598,26,54.3714165882,yellow,congruent,incorrect,j,0.451057300881
639598,27,56.3951720981,green,congruent,correct,f,0.507288530222
639598,28,58.4154080361,blue,neutral,correct,j,0.679357576802
639598,29,60.436809627,blue,incongruent,correct,j,0.625786612996
639598,30,62.4571432716,yellow,neutral,correct,k,0.397322923811
639598,31,64.4779232094,red,congruent,correct,d,0.55268669752
639598,32,66.498410454,blue,neutral,correct,j,0.56429671924
639598,33,72.5415588089,yellow,probe,-1,0,-1
639598,34,74.857024061,yellow,incongruent,correct,k,0.589413721849
639598,35,76.8784107185,blue,incongruent,correct,j,0.504050984935
639598,36,78.8994620162,yellow,congruent,correct,k,0.626964639167
639598,37,80.9198882475,red,neutral,correct,d,0.670546913898
639598,38,82.9437700507,yellow,incongruent,correct,k,0.598898944467
639598,39,84.964880655,green,incongruent,correct,f,0.609605286569
639598,40,86.9850094997,blue,congruent,correct,j,0.54143891565
639598,41,89.0064955706,blue,incongruent,correct,j,0.631927623712
639598,42,91.0278523614,yellow,congruent,correct,k,0.498601173931
639598,43,93.0520392311,yellow,incongruent,correct,k,0.442752664421
639598,44,95.0732441287,red,congruent,correct,d,0.725201183908
639598,45,97.0938922266,yellow,neutral,correct,k,0.592626093807
639598,46,99.1177219764,green,congruent,correct,f,0.648740416538
639598,47,101.143259246,blue,incongruent,correct,j,0.591187801096
639598,48,103.163371024,blue,congruent,correct,j,0.523283403403
639598,49,105.184331015,blue,neutral,correct,j,0.502197972397
639598,50,107.290276569,red,incongruent,correct,d,0.604145662233
639598,51,109.310603814,red,neutral,correct,d,0.567874317705
639598,52,111.330873885,green,neutral,correct,f,0.691738584865
639598,53,113.350667797,yellow,incongruent,correct,k,0.43173613579
639598,54,115.371430668,yellow,incongruent,correct,k,0.475248437222
639598,55,117.392709379,green,incongruent,correct,f,0.454069992928
639598,56,119.412781051,blue,congruent,correct,j,0.465628814665
639598,57,123.012139515,red,probe,-1,1,-1
639598,58,125.324520395,blue,incongruent,correct,j,0.681943602372
639598,59,127.345115586,green,neutral,correct,f,0.533476892386
639598,60,129.368798989,red,incongruent,correct,d,0.573624075252
639598,61,131.389048154,red,neutral,correct,d,0.697371009126
639598,62,133.410362278,red,congruent,correct,d,0.564058212673
639598,63,135.430187763,red,incongruent,correct,d,0.544571500985
639598,64,137.450167701,green,incongruent,correct,f,0.492253229975
639598,65,139.471051319,yellow,neutral,correct,k,0.487357658727
639598,66,141.494827736,green,congruent,correct,f,0.79955464552
639598,67,143.515977593,yellow,congruent,correct,k,0.49043307075
639598,68,145.536839024,yellow,incongruent,correct,k,0.517574179168
639598,69,147.557452135,blue,neutral,correct,j,0.785302278273
639598,70,149.578147593,blue,neutral,correct,j,0.828268446603
639598,71,151.598845611,red,incongruent,correct,d,0.871706081409
639598,72,153.619207416,yellow,neutral,correct,k,0.371339788224
639598,73,155.639044421,blue,congruent,correct,j,0.68762850661
639598,74,157.659955345,red,congruent,correct,d,0.506507303886
639598,75,159.682352776,blue,neutral,correct,j,0.676232671474
639598,76,161.706170579,yellow,incongruent,correct,k,0.42825624394
639598,77,163.726601503,yellow,neutral,correct,k,0.487816325192
639598,78,165.748390507,red,congruent,correct,d,0.642023832734
639598,79,167.772627297,yellow,incongruent,correct,k,0.377798238806
639598,80,169.793405101,green,neutral,correct,f,0.453082260021
639598,81,171.830360392,green,incongruent,correct,f,0.592073560721
639598,82,173.850631744,red,incongruent,correct,d,0.507780476677
639598,83,175.870820322,blue,congruent,correct,j,0.471750625387
639598,84,177.890659887,blue,congruent,correct,j,0.483748060273
639598,85,179.911246545,green,neutral,correct,f,0.559151974761
639598,86,181.933073949,yellow,congruent,correct,k,0.473392864689
639598,87,183.9536013,green,neutral,correct,f,0.500807039658
639598,88,185.974286518,blue,neutral,correct,j,0.480120115149
639598,89,187.995854508,yellow,incongruent,correct,k,0.442635331143
639598,90,190.01663274,green,neutral,incorrect,j,0.437743599898
639598,91,192.037407131,yellow,congruent,correct,k,0.449119808371
639598,92,194.057320082,blue,congruent,correct,j,0.685073201035
639598,93,196.077665674,green,incongruent,correct,f,0.648999829762
639598,94,198.102549716,yellow,incongruent,correct,k,0.527981001396
639598,95,200.123735414,red,neutral,correct,d,0.458820497573
639598,96,202.145155778,green,neutral,correct,f,0.501261012796
639598,97,204.382841863,green,probe,-1,0,-1
639598,98,206.69502477,yellow,neutral,correct,k,0.543433581464
639598,99,208.717008761,yellow,neutral,correct,k,0.393444952133
639598,100,210.740770244,yellow,congruent,correct,k,0.385611355472
639598,101,212.762432101,red,neutral,correct,d,0.476174303498
639598,102,214.781682013,blue,congruent,correct,j,0.61695760343
639598,103,216.803200937,yellow,incongruent,correct,k,0.483352540432
639598,104,218.823674529,yellow,neutral,correct,k,0.430779549533
639598,105,220.844087107,blue,neutral,correct,j,0.698310102052
639598,106,222.870138509,blue,incongruent,correct,j,0.704538579397
639598,107,224.890842073,green,neutral,correct,f,0.619708748927
639598,108,226.91308505,green,incongruent,correct,f,0.485289179611
639598,109,228.933795868,blue,neutral,correct,j,0.512579194634
639598,110,230.95420802,red,neutral,correct,d,0.588188762376
639598,111,232.978222943,blue,incongruent,correct,j,0.628152478654
639598,112,235.002533546,green,congruent,correct,f,0.507891836627
639598,113,237.02310271,red,neutral,correct,d,0.535297051611
639598,114,239.044482541,blue,incongruent,incorrect,f,0.498177494112
639598,115,241.065567545,red,incongruent,correct,d,0.556807015761
639598,116,243.086097883,yellow,neutral,correct,k,0.520290764674
639598,117,245.110857339,yellow,incongruent,correct,k,0.511594021722
639598,118,247.132090397,red,congruent,correct,d,0.666365155688
639598,119,249.153711294,yellow,incongruent,incorrect,j,0.884812422482
639598,120,251.174532192,blue,incongruent,correct,j,0.735927152673
639598,121,253.19527885,yellow,congruent,correct,k,0.411200677889
639598,122,255.176837898,green,probe,-1,0,-1
639598,123,257.486863579,blue,congruent,correct,j,0.77554825577
639598,124,259.50738581,green,neutral,correct,f,0.595058092775
639598,125,261.527583348,blue,congruent,incorrect,f,0.558770534924
639598,126,263.547881153,blue,neutral,correct,j,0.970525452576
639598,127,265.568821944,red,congruent,correct,d,0.581530205214
639598,128,267.589414149,blue,neutral,correct,j,0.688966532711
639598,129,269.610956113,yellow,incongruent,correct,k,0.411669584355
639598,130,271.630973171,blue,congruent,correct,j,0.599696384132
639598,131,273.651625109,yellow,neutral,correct,k,0.450736874351
639598,132,275.6727131,red,incongruent,correct,d,0.493696216021
639598,133,277.693798531,red,congruent,correct,d,0.488631258188
639598,134,279.715481721,green,incongruent,correct,f,0.642876312377
639598,135,281.736853019,red,congruent,correct,d,0.509678715869
639598,136,283.75812149,blue,neutral,incorrect,f,0.696246316264
639598,137,285.778807134,yellow,incongruent,correct,k,0.483896113532
639598,138,287.798708139,red,incongruent,correct,d,0.671654966762
639598,139,289.819937357,green,incongruent,correct,f,0.970439692617
639598,140,291.840509081,yellow,neutral,correct,k,0.421862220006
639598,141,293.860466406,blue,congruent,correct,j,0.401983401818
639598,142,295.880660958,green,incongruent,correct,f,0.638020421109
639598,143,297.900366549,blue,congruent,incorrect,f,0.505987197444
639598,144,299.921571447,yellow,congruent,correct,k,0.420783180467
639598,145,301.942367171,green,neutral,correct,f,0.752048745795
639598,146,303.966217828,green,congruent,correct,f,0.568187064244
639598,147,305.990761817,green,congruent,correct,f,0.463605135526
639598,148,308.011778982,green,neutral,correct,f,0.538817050103
639598,149,310.03239892,blue,neutral,correct,j,0.485993179303
639598,150,312.052894697,blue,congruent,correct,j,0.449720128119
639598,151,314.073821408,red,neutral,correct,d,0.540513476044
639598,152,316.094654253,yellow,neutral,correct,k,0.599676330807
639598,153,318.11669883,red,congruent,correct,d,0.385662555454
639598,154,320.620454989,yellow,probe,-1,1,-1
639598,155,322.933071389,red,congruent,correct,d,0.657278439561
639598,156,324.953798846,blue,neutral,correct,j,0.604540328728
639598,157,326.974260491,red,neutral,correct,d,0.536124784587
639598,158,328.994395309,red,incongruent,correct,d,0.516106446456
639598,159,331.01606314,blue,incongruent,correct,j,0.462517135995
639598,160,333.037296197,yellow,congruent,correct,k,0.569050210543
639598,161,335.061093094,green,congruent,correct,f,0.497249067841
639598,162,337.081837192,green,neutral,correct,f,0.812559013313
639598,163,339.102718676,yellow,neutral,incorrect,j,0.791623768906
639598,164,341.12432208,blue,incongruent,incorrect,f,0.658217959164
639598,165,343.144539245,yellow,incongruent,correct,k,0.445841303102
639598,166,345.166006116,green,incongruent,correct,f,0.680359816382
639598,167,347.186879067,blue,neutral,correct,j,0.579425886106
639598,168,349.208232871,red,congruent,correct,d,0.542162115344
639598,169,351.229503049,yellow,congruent,correct,k,0.376896265858
639598,170,353.250032533,blue,congruent,correct,j,0.548275819398
639598,171,355.270679778,blue,neutral,incorrect,f,0.703986899636
639598,172,357.291559982,blue,neutral,correct,j,0.554774376629
639598,173,359.31175112,blue,congruent,correct,j,0.454813245946
639598,174,361.331840285,blue,congruent,correct,j,0.418480461449
639598,175,363.353691582,red,congruent,correct,d,0.604738728645
639598,176,365.37520112,blue,incongruent,correct,j,0.551339284757
639598,177,367.395698178,red,incongruent,correct,d,0.578622899789
639598,178,369.417404835,green,neutral,correct,f,0.701019007567
639598,179,371.437951386,blue,neutral,correct,j,0.616335097031
639598,180,373.458343484,red,neutral,correct,d,0.579930205895
639598,181,375.480064649,red,congruent,correct,d,0.478249182612
639598,182,377.870615949,red,probe,-1,1,-1
639598,183,380.185495814,green,congruent,correct,f,0.74894133379
639598,184,382.206201512,green,neutral,correct,f,0.488359471638
639598,185,384.22677793,red,neutral,correct,d,0.771732577392
639598,186,386.247249388,blue,neutral,correct,j,0.78307507922
639598,187,388.269038819,green,incongruent,correct,f,0.585247750292
639598,188,390.289249157,red,incongruent,correct,d,0.69310135761
639598,189,392.310742054,blue,incongruent,correct,j,0.639537647134
639598,190,394.330727112,blue,congruent,correct,j,0.475867956964
639598,191,396.352204223,yellow,congruent,correct,k,0.502338345665
639598,192,398.371578295,blue,congruent,correct,j,0.530740253547
639598,193,400.395838551,green,congruent,correct,f,0.666547768938
639598,194,402.416187129,yellow,neutral,correct,k,0.518121165602
639598,195,404.437726107,blue,incongruent,correct,j,0.464814735009
639598,196,406.458348178,blue,congruent,correct,j,0.6682680882
639598,197,408.482240221,red,incongruent,correct,d,0.628065865356
639598,198,410.503671678,yellow,congruent,correct,k,0.43071341623
639598,199,412.52428479,yellow,neutral,correct,k,0.650059242646
639598,200,414.544678594,blue,congruent,correct,j,0.517591672498
639598,201,416.566082745,blue,incongruent,correct,j,0.512339408066
639598,202,418.586766256,red,neutral,correct,d,0.683557681681
639598,203,420.608630354,yellow,congruent,correct,k,0.518058018963
639598,204,422.632597063,blue,incongruent,correct,j,0.429674483341
639598,205,424.654297321,blue,incongruent,correct,j,0.552012137807
639598,206,426.675881952,yellow,congruent,correct,k,0.482446300826
639598,207,428.696619649,green,neutral,correct,f,0.685685040771
639598,208,430.721301026,green,congruent,correct,f,0.405201747111
639598,209,432.74264203,blue,incongruent,correct,j,0.511653755028
639598,210,434.767706979,yellow,incongruent,correct,k,0.374578186849
639598,211,436.789233583,blue,incongruent,correct,j,0.513178234381
639598,212,438.810979067,yellow,congruent,correct,k,0.379336371479
639598,213,440.831528605,yellow,neutral,correct,k,0.42278509961
639598,214,443.438719386,red,probe,-1,1,-1
639598,215,445.749830507,blue,congruent,correct,j,0.816465144977
639598,216,447.770592098,blue,neutral,correct,j,0.379701171325
639598,217,449.794755928,yellow,incongruent,correct,k,0.435862427366
639598,218,451.81959133,blue,incongruent,correct,j,0.634781595829
639598,219,453.843704387,green,congruent,correct,f,0.578593459795
639598,220,455.865030458,red,congruent,correct,d,0.509591675909
639598,221,457.889367941,green,congruent,correct,f,0.484942299758
639598,222,459.909931132,green,neutral,correct,f,0.512719567902
639598,223,461.930598856,blue,neutral,incorrect,k,0.603707902417
639598,224,463.951575914,blue,congruent,correct,j,0.502708692176
639598,225,465.975358731,blue,incongruent,correct,j,0.478955315644
639598,226,467.996826455,red,incongruent,correct,d,0.553472190521
639598,227,470.018352206,blue,incongruent,correct,j,0.579933619229
639598,228,472.03898409,blue,neutral,correct,j,0.543317954849
639598,229,474.058810855,blue,congruent,correct,j,0.411481424431
639598,230,476.080630152,green,incongruent,correct,f,0.709892390441
639598,231,478.10199121,red,incongruent,correct,d,0.544299287765
639598,232,480.122014668,blue,congruent,correct,j,0.444299757102
639598,233,482.141946393,yellow,incongruent,correct,k,0.392343725936
639598,234,484.162880357,red,neutral,correct,d,0.531765533109
639598,235,486.468311694,yellow,probe,-1,1,-1
639598,236,488.779904094,red,neutral,correct,d,0.794703020933
639598,237,490.801460565,green,incongruent,correct,f,0.7728922569
639598,238,492.821713569,blue,congruent,correct,j,0.512646607938
639598,239,494.845801452,green,congruent,correct,f,0.520469537929
639598,240,496.865358564,red,incongruent,correct,d,0.468870626617
639598,241,498.886707675,blue,incongruent,correct,j,0.431936242378
639598,242,500.907095933,green,neutral,correct,f,0.507221970249
639598,243,502.928424137,blue,incongruent,correct,j,0.517969272332
639598,244,504.952280767,green,congruent,correct,f,0.718228173551
639598,245,506.973169931,yellow,neutral,correct,k,0.569371063735
639598,246,508.994645336,yellow,incongruent,correct,k,0.6756212584
639598,247,511.016093433,red,incongruent,correct,d,0.622323787808
639598,248,513.037578224,red,congruent,correct,d,0.472677344987
639598,249,515.058079549,green,neutral,correct,f,0.628201545303
639598,250,517.082591538,green,congruent,correct,f,0.555660989587
639598,251,519.10261201,blue,congruent,correct,j,0.647717696971
639598,252,521.122957601,blue,congruent,correct,j,0.467368333928
639598,253,523.143541272,green,neutral,correct,f,0.78268297272
639598,254,525.164717156,yellow,congruent,correct,k,0.537492250674
639598,255,527.18734968,blue,neutral,correct,j,1.21902027989
639598,256,529.207964925,blue,neutral,correct,j,0.590305454803
639598,257,531.229635742,yellow,congruent,correct,k,0.456932071713
639598,258,533.25031968,green,neutral,correct,f,0.563985252702
639598,259,535.270888844,yellow,neutral,correct,k,0.46335937563
639598,260,537.295006594,red,incongruent,correct,d,0.711235109877
639598,261,539.315198159,blue,congruent,correct,j,0.45156162067
639598,262,541.336584816,red,congruent,correct,d,0.653685481091
639598,263,543.357075474,blue,neutral,correct,j,0.761175141903
639598,264,545.378562398,green,incongruent,correct,f,0.81985074353
639598,265,547.399963136,green,incongruent,correct,f,0.494581548977
639598,266,549.599795371,green,probe,-1,1,-1
639598,267,551.912143824,red,congruent,correct,d,0.654112574251
639598,268,553.933631602,yellow,congruent,correct,k,0.648604309928
639598,269,555.955225619,red,congruent,correct,d,0.595393879303
639598,270,557.979292169,red,incongruent,correct,d,0.506944637033
639598,271,560.00049664,red,congruent,correct,d,0.518094285617
639598,272,562.022181537,yellow,congruent,correct,k,0.592066734054
639598,273,564.042927342,red,neutral,correct,d,0.635311515602
639598,274,566.064476986,red,congruent,correct,d,0.581771271776
639598,275,568.084590897,blue,congruent,correct,j,0.545710273829
639598,276,570.105346088,yellow,neutral,correct,k,0.477191049737
639598,277,572.12463312,green,incongruent,none,none,-1
639598,278,574.14920527,blue,incongruent,none,none,-1
639598,279,576.169815821,red,neutral,none,none,-1
639598,280,578.184260615,yellow,neutral,none,none,-1
639598,281,580.208295591,blue,incongruent,none,none,-1
639598,282,582.228876276,red,neutral,none,none,-1
639598,283,584.250447253,red,congruent,none,none,-1
639598,284,586.275400416,green,congruent,none,none,-1
639598,285,588.295579607,blue,congruent,none,none,-1
639598,286,590.310388348,yellow,incongruent,none,none,-1
639598,287,592.331507059,green,incongruent,none,none,-1
639598,288,594.346056386,yellow,congruent,none,none,-1
639598,289,596.370524855,green,congruent,none,none,-1
639598,290,598.39168794,red,neutral,none,none,-1
639598,291,633.370954508,red,probe,-1,1,-1
639598,292,635.676572725,red,neutral,correct,d,1.01761748582
639598,293,637.700959701,red,incongruent,correct,d,0.449622421496
639598,294,639.725955104,green,congruent,correct,f,0.600257023892
639598,295,641.745867202,blue,congruent,correct,j,0.676654644623
639598,296,643.766308793,red,incongruent,correct,d,1.05598888278
639598,297,645.787548677,blue,congruent,correct,j,0.922717472975
639598,298,647.808973735,yellow,congruent,correct,k,0.485550726167
639598,299,649.829593246,red,neutral,correct,d,0.576609887314
639598,300,651.85107633,yellow,incongruent,correct,k,0.699331541618
639598,301,653.871726988,red,neutral,correct,d,0.582582364761
639598,302,655.896088364,red,incongruent,correct,d,0.542107075373
639598,303,657.920042701,yellow,incongruent,correct,k,0.534220998728
639598,304,659.944309357,red,incongruent,correct,d,0.526020042227
639598,305,661.965794575,red,congruent,correct,d,0.504469544758
639598,306,663.986918406,red,congruent,correct,d,0.419292407765
639598,307,666.00854997,yellow,congruent,correct,k,0.477640756202
639598,308,668.028743241,blue,congruent,correct,j,0.873449440667
639598,309,670.049373846,yellow,neutral,correct,k,0.564892345647
639598,310,672.073956662,green,congruent,correct,f,0.588242522354
639598,311,674.095167106,blue,incongruent,correct,j,0.663066170426
639598,312,676.115575417,red,neutral,correct,d,0.530739400216
639598,313,678.136759835,yellow,congruent,correct,k,0.333437724395
639598,314,680.157107133,red,neutral,correct,d,0.601060863548
639598,315,682.178671284,blue,incongruent,correct,j,0.5955504659
639598,316,684.20239522,green,congruent,correct,f,0.427801417471
639598,317,686.223726838,blue,incongruent,correct,j,0.598743637864
639598,318,688.247776321,yellow,incongruent,correct,k,0.462369936053
639598,319,690.269148045,yellow,congruent,correct,k,0.537042544194
639598,320,692.289969796,green,neutral,correct,f,0.596513878816
639598,321,694.310710481,blue,neutral,correct,j,0.591480920972
639598,322,696.331249352,green,neutral,incorrect,k,0.410928464669
639598,323,698.351522837,red,incongruent,correct,d,0.64660665745
639598,324,700.372109495,green,neutral,correct,f,0.562109200167
639598,325,702.392050606,red,incongruent,correct,d,1.15012345595
639598,326,704.603401983,green,probe,-1,1,-1
639598,327,706.921697313,green,neutral,correct,f,0.796517206814
639598,328,708.943359597,green,incongruent,correct,f,0.438829892766
639598,329,710.963416336,blue,congruent,correct,j,0.514865273661
639598,330,712.987516592,yellow,incongruent,correct,k,0.570706103164
639598,331,715.00759765,blue,congruent,correct,j,0.662584463964
639598,332,717.029004788,green,incongruent,correct,f,0.577372766988
639598,333,719.050343659,red,congruent,correct,d,0.539806063018
639598,334,721.07029757,yellow,incongruent,correct,k,0.487917871818
639598,335,723.090408068,yellow,incongruent,correct,k,0.499766826768
639598,336,725.111647526,yellow,congruent,correct,k,0.462783375879
639598,337,727.132185544,blue,neutral,incorrect,k,0.570237196698
639598,338,729.152524735,yellow,incongruent,correct,k,0.46966507961
639598,339,731.172554593,red,incongruent,correct,d,0.577773406818
639598,340,733.193316611,red,neutral,correct,d,0.62086074843
639598,341,735.214125135,red,neutral,correct,d,0.392076206052
639598,342,737.234780486,red,neutral,correct,d,0.403675561094
639598,343,739.257941223,yellow,congruent,correct,k,0.636519835083
639598,344,741.277813215,blue,congruent,correct,j,0.584690523865
639598,345,743.297799126,blue,congruent,correct,j,0.548431552663
639598,346,745.31965853,yellow,congruent,correct,k,0.542631448472
639598,347,747.340005828,green,incongruent,correct,f,1.066413625
639598,348,749.361366032,green,incongruent,correct,f,0.468805773307
