# OrderedDict([('code', u'862659'), ('alder (opsjonalt)', u'22'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_15_1413'), ('expName', 'StroopMW'), ('frameRate', 59.981778351020544)])
subj,trial,time,color,condition,correct,response,RT
862659,0,1.81242298673,yellow,incongruent,correct,k,1.17055772112
862659,1,3.83190115678,red,congruent,correct,d,0.687056907045
862659,2,5.85198092631,blue,incongruent,correct,j,1.0028957842
862659,3,7.87084555021,blue,neutral,correct,j,0.488000863573
862659,4,9.89065822664,green,incongruent,correct,f,0.484484706573
862659,5,11.9276169151,blue,incongruent,correct,j,0.863231263376
862659,6,13.9461530059,yellow,neutral,correct,k,0.828686652854
862659,7,15.9646728835,green,incongruent,incorrect,d,0.906186746721
862659,8,17.9837909472,red,neutral,correct,d,0.679199420417
862659,9,20.0064840478,yellow,congruent,correct,k,0.688369332591
862659,10,22.0252701651,red,congruent,incorrect,f,0.509680631739
862659,11,24.0443020422,blue,incongruent,correct,j,0.746598616236
862659,12,26.0639726387,red,incongruent,incorrect,f,0.822829377852
862659,13,28.0829349692,blue,neutral,correct,j,1.34787554315
862659,14,30.103551485,green,incongruent,correct,f,1.35929654673
862659,15,32.123777601,blue,congruent,correct,j,0.843295280388
862659,16,34.1429216914,blue,neutral,correct,j,0.840032136506
862659,17,36.1637664736,green,incongruent,correct,f,1.01106729722
862659,18,38.1860073079,red,incongruent,correct,d,0.780816827036
862659,19,40.2051441449,red,neutral,correct,d,0.473674262465
862659,20,42.2247673815,yellow,incongruent,correct,k,0.71005806075
862659,21,44.2439942451,red,congruent,correct,d,0.482830947984
862659,22,46.2630969488,yellow,neutral,correct,k,0.623753281064
862659,23,48.2830717584,blue,incongruent,correct,j,0.443795674628
862659,24,50.3038640607,blue,incongruent,correct,j,0.550945236527
862659,25,52.3245492697,red,incongruent,correct,d,0.562341920135
862659,26,54.3441067997,blue,incongruent,correct,j,0.622706668624
862659,27,56.3642036359,red,incongruent,correct,d,0.76266814919
862659,28,58.3835644727,red,congruent,correct,d,0.439357918415
862659,29,60.4041886684,red,incongruent,correct,d,0.450919721882
862659,30,62.4238780383,blue,incongruent,correct,j,0.591017735665
862659,31,64.4440798344,green,congruent,correct,f,0.490885981111
862659,32,66.4626726719,blue,incongruent,correct,j,0.744121391683
862659,33,68.4822920684,blue,congruent,correct,j,0.420610627746
862659,34,70.5024716779,red,congruent,correct,d,0.51230121617
862659,35,72.5217595548,red,congruent,correct,d,0.493095685892
862659,36,74.5403852455,blue,neutral,correct,j,0.650834644621
862659,37,76.5617586673,blue,incongruent,correct,j,0.501061972427
862659,38,81.143703344,green,probe,-1,2,-1
862659,39,83.4548092119,green,neutral,correct,f,1.16013383669
862659,40,85.4744542085,blue,incongruent,correct,j,0.484340493363
862659,41,87.493369179,blue,neutral,incorrect,f,1.0097318317
862659,42,89.5143223344,green,incongruent,correct,f,0.956474490475
862659,43,91.5336123447,yellow,neutral,correct,k,0.649147179395
862659,44,93.5537057675,yellow,incongruent,correct,k,0.581330703931
862659,45,95.5735969505,red,congruent,correct,d,0.465526216084
862659,46,97.5927393342,yellow,neutral,incorrect,d,0.382048100652
862659,47,99.6107796388,red,neutral,correct,d,0.876285118904
862659,48,101.631039035,yellow,congruent,correct,k,0.487797770413
862659,49,103.650559445,red,neutral,correct,d,1.22052418515
862659,50,105.670273988,red,congruent,correct,d,0.512479136018
862659,51,107.689162932,blue,neutral,correct,j,0.877655571067
862659,52,109.708164942,yellow,neutral,correct,k,0.634926391529
862659,53,111.727064553,green,congruent,correct,f,0.50373077015
862659,54,113.746843523,blue,incongruent,none,none,-1
862659,55,115.767050012,blue,congruent,correct,j,1.1196897112
862659,56,117.786805515,yellow,incongruent,correct,k,0.764012574709
862659,57,119.807489444,green,incongruent,correct,f,0.711289846366
862659,58,121.827067454,green,congruent,correct,f,0.419771375128
862659,59,123.84775181,yellow,congruent,correct,k,0.622999788374
