condition,RT
neutral,0.36843445496033855
congruent,0.17179732779316353
congruent,0.19211813854794402
neutral,0.8705328788043312
neutral,-0.04756282876056141
congruent,0.796313389549882
congruent,0.8185436518617213
neutral,0.6046065259697498
congruent,0.6400920812919603
neutral,0.5901874811262442
congruent,0.6520091542478095
incongruent,1.1166647069477353
neutral,0.6701066495986773
incongruent,1.1037545198422365
congruent,0.66733650827606
incongruent,0.7237772661481077
neutral,0.6021167283519236
incongruent,0.977070318808529
congruent,0.5444739525927603
congruent,1.0219013617943111
incongruent,0.7135662707181553
congruent,0.5326674137886931
neutral,0.9283953961253366
incongruent,0.4879065185173713
incongruent,0.8209934640223039
congruent,0.7636006527338701
neutral,0.9498883628756065
neutral,0.43884503911540385
incongruent,0.7289054079313441
congruent,0.5115745475295217
incongruent,0.9067468481582082
neutral,0.48061496995102293
neutral,0.4213594742480512
neutral,0.9863918765984453
neutral,0.6084034005109697
incongruent,0.7004233723549838
neutral,0.5260559787052417
neutral,0.43863688052127003
congruent,0.5768430989358836
congruent,0.43135855596425343
neutral,0.5604254995376452
congruent,0.7004390809129784
congruent,0.8160177715032384
neutral,0.5786086827087686
incongruent,0.5080081501726128
neutral,0.9841738897013868
congruent,0.5959835455714932
incongruent,0.613250432675589
incongruent,0.9560117956456564
neutral,0.4719875647708231
neutral,0.9216168738357842
neutral,0.42934854036072656
congruent,0.27891232211821637
congruent,0.4423658486114369
neutral,0.5587584693414755
congruent,0.7892378175715106
incongruent,1.2815987038916445
congruent,0.4087656271720746
congruent,0.9286550607292919
neutral,0.4657682684490304
neutral,0.6984423049649878
incongruent,0.4811754871237235
congruent,0.7846542058317092
congruent,0.9325474364492321
neutral,0.9793476245656902
incongruent,1.0141752140022662
incongruent,0.628601584692775
neutral,0.6841238107383046
congruent,0.6861969828174387
incongruent,1.2899038590114316
neutral,0.5302078674193892
incongruent,1.1052557064789468
neutral,0.5792224584427826
congruent,0.8632013829972007
neutral,0.8335126416440881
neutral,0.8051822322505024
incongruent,0.9179171711904859
congruent,0.7335970434796667
congruent,0.5452721203349837
incongruent,0.5250509392816708
incongruent,0.9016347643503098
neutral,0.5915999403533844
congruent,0.796411309211577
incongruent,0.8607326250441307
incongruent,0.5634688978636919
incongruent,0.6826001078082943
congruent,0.6583506268504724
congruent,0.7768047062811003
neutral,0.8784360292656473
neutral,0.9710063453330007
neutral,0.7173611712322284
congruent,0.6416073104415764
congruent,0.7942399025370771
neutral,0.6422826571395754
neutral,0.6667753182414283
incongruent,0.6598775292169563
congruent,0.7773257556883554
neutral,0.8527252994379291
incongruent,0.5630493320898107
incongruent,0.9879557970131642
congruent,1.0654759035199666
neutral,0.34205990547241744
neutral,0.7190497604046462
congruent,0.1310208186039158
congruent,0.9547666583471506
congruent,0.7054340131515461
incongruent,0.9730869886985418
congruent,0.9458206592686434
neutral,0.7529911329614584
congruent,0.7616172910370748
neutral,0.7574301429937624
congruent,0.6025972943858502
congruent,0.7520705546523058
incongruent,0.9460613666026634
congruent,0.6686626214920521
neutral,0.20848153857314297
incongruent,0.689140028008526
congruent,0.5931649101091443
neutral,0.34521395652119463
neutral,0.7398801453192854
congruent,0.6763483921291941
incongruent,0.5971837536000972
congruent,0.7784694912366256
congruent,0.8704618022813034
congruent,0.41985967703694094
congruent,0.6965674257434514
neutral,0.46809929727730215
incongruent,0.9584098154859231
congruent,1.1211920541508018
neutral,0.4648000792950697
congruent,0.6154802195585224
incongruent,0.9267966783648904
neutral,0.6294409829523456
incongruent,0.5176180981789196
congruent,0.7270142789050371
congruent,0.4398707523138912
incongruent,0.6448192991113935
incongruent,0.22284726282018968
incongruent,0.6887448248065453
congruent,0.7547752872754417
neutral,0.4598006617685326
incongruent,0.6372074499180306
incongruent,0.7888404467576151
incongruent,0.5705154353154486
incongruent,0.8079830000869722
congruent,0.6475013028500742
incongruent,1.0087606110036877
neutral,0.7463949376775876
neutral,0.6856645217562074
incongruent,0.7641060374741478
congruent,0.33794138782166167
incongruent,0.7776331114698193
congruent,0.5753490975749298
incongruent,0.7607575802809449
neutral,0.8462375760981066
neutral,0.7216974610984792
neutral,0.5093009548889277
incongruent,0.9421496447544977
neutral,0.2558379451380925
neutral,0.7322355652407815
congruent,0.387250027478821
incongruent,0.890470407365687
congruent,0.9809252457672357
neutral,0.6210425397962508
congruent,1.1105213350797634
neutral,0.6048875069262732
neutral,0.5745126378341323
congruent,0.3470470804359674
neutral,0.46244215237276337
neutral,0.6080814414954889
neutral,0.647766984526625
incongruent,0.6875154571437806
neutral,0.5520738615424952
congruent,0.41425456780476355
congruent,0.8536628707273868
incongruent,1.2071201866293764
neutral,0.8301241406593041
congruent,0.8919809572320879
congruent,0.6626184157673229
neutral,0.9095104162901019
incongruent,1.0485090209662646
neutral,0.7189554017689755
neutral,0.7611395812630627
congruent,0.34809797034148265
neutral,0.47665915401197606
congruent,0.8575744289392903
neutral,1.0675375304373704
congruent,0.6795002920834752
neutral,0.6344459571942858
neutral,1.0797345340285687
neutral,0.8014733100620859
neutral,1.079138615266289
congruent,1.073362082910975
incongruent,0.49917215403587417
neutral,0.2570331138115198
congruent,0.9054450509784032
congruent,0.7328272799082811
incongruent,0.9194285750089211
neutral,0.7622263699033962
congruent,0.5049975498896804
incongruent,0.6748579798785139
incongruent,0.7447731816550418
incongruent,0.7426359392021656
congruent,0.416303825976917
neutral,0.49542257336649176
neutral,0.5506220639282053
neutral,0.7552320640800683
neutral,0.26521886634182396
incongruent,1.2810585166521595
congruent,0.6027086587575027
congruent,0.579545035895299
incongruent,0.5365431495141554
congruent,0.952569303977926
neutral,0.7649995712246977
congruent,0.9011635899705838
incongruent,0.686724278784115
congruent,0.8100055212513432
incongruent,0.7500079967584982
incongruent,0.5733122649468354
congruent,0.35536696432547515
neutral,0.9066710646907639
congruent,1.066712524073542
congruent,0.6178597889528802
congruent,0.1855273230286496
neutral,0.5929941173565875
incongruent,0.8122586842052054
neutral,1.008362869869251
congruent,0.8072647031141479
congruent,0.5335084351308494
congruent,0.8101896433025852
neutral,0.9840852949632185
incongruent,0.9558656094677663
congruent,0.603766746010339
congruent,0.8543372482383673
incongruent,0.8918453636747458
incongruent,1.1670261826849735
incongruent,0.5045367912849947
incongruent,0.49061434046130065
neutral,0.6674022601937202
incongruent,0.9733024470916598
congruent,0.7600458631436134
incongruent,0.7730468462773679
congruent,0.27841613265850756
congruent,0.40511860242883274
congruent,0.6275380704626103
